Text,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Engagement,Sentiment
" Helplessness engulfs me, drowning in a sea of problems.",2019-05-08 14:20:00, OverwhelmedSoul  , Instagram ,8.0,15.0, Australia    ,2019,5,23.0,Neutral
" Envy poisons my thoughts, coveting others' success.",2017-03-20 11:30:00, GreenEyedMonster , Facebook ,10.0,20.0, Canada        ,2017,3,30.0,Positive
 Regret for decisions that led to a painful present.,2018-12-15 16:00:00, RegretfulMind    , Twitter  ,12.0,25.0, USA          ,2018,12,37.0,Negative
 Disgust at the corruption that stains society.     ,2016-07-01 09:45:00, CorruptedHeart   , Instagram ,7.0,15.0, UK            ,2016,7,22.0,Neutral
" Sinking in despair, each day darker than the last. ",2020-08-20 20:20:00, DrowningSoul     , Facebook ,10.0,20.0, India         ,2020,8,30.0,Neutral
" Grief overwhelms, a storm of emotions within.      ",2021-02-25 15:30:00, StormyHeart      , Twitter  ,12.0,25.0, Canada        ,2021,2,37.0,Very Negative
" Loneliness echoes in empty spaces, yearning for connection.",2019-09-12 18:10:00, EchoingSoul     , Instagram ,15.0,30.0, Australia     ,2019,9,45.0,Neutral
" Jealousy poisons my thoughts, resentment brewing within.",2018-08-05 16:30:00, PoisonedMind    , Facebook ,8.0,15.0, USA           ,2018,8,23.0,Neutral
" Resentment festers, a wound that refuses to heal.  ",2017-01-12 12:00:00, UnforgivingSoul  , Twitter  ,10.0,20.0, India         ,2017,1,30.0,Neutral
" Frustration escalates, a thunderstorm of emotions. ",2022-04-05 14:45:00, ThunderingMind   , Instagram ,12.0,25.0, UK            ,2022,4,37.0,Neutral
" Boredom lingers, a stagnant pool of indifference.  ",2021-10-02 19:00:00, StagnantHeart    , Facebook ,7.0,15.0, Canada        ,2021,10,22.0,Neutral
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",2023-04-15 10:15:00, InquisitiveMind   , Twitter  ,15.0,30.0, USA          ,2023,4,45.0,Neutral
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",2022-11-28 17:30:00, ApatheticObserver , Instagram ,7.0,15.0, Canada          ,2022,11,22.0,Neutral
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",2020-04-02 09:45:00, SeekingClarity    , Facebook ,10.0,20.0, UK           ,2020,4,30.0,Negative
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",2021-08-10 14:00:00, EmotionallyDistant , Twitter  ,8.0,15.0, India        ,2021,8,23.0,Positive
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",2019-06-18 20:45:00, SunsetDreamer     , Instagram ,12.0,25.0, Australia     ,2019,6,37.0,Neutral
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",2018-02-05 15:15:00, MemoryLaneTraveler , Facebook ,10.0,20.0, USA          ,2018,2,30.0,Neutral
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",2022-05-30 11:30:00, MixedFeelings     , Twitter  ,12.0,25.0, Canada        ,2022,5,37.0,Neutral
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",2023-01-10 16:20:00, ZenLifestyle      , Instagram ,15.0,30.0, UK           ,2023,1,45.0,Neutral
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",2020-09-18 13:45:00, ResilientSpirit   , Facebook ,10.0,20.0, India        ,2020,9,30.0,Very Negative
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",2021-07-03 19:00:00, NatureSoul        , Twitter  ,12.0,25.0, Australia    ,2021,7,37.0,Positive
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",2022-10-08 08:15:00, EternalLearner    , Instagram ,20.0,40.0, USA          ,2022,10,60.0,Negative
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",2023-03-22 16:30:00, AloofObserver     , Facebook ,10.0,20.0, Canada        ,2023,3,30.0,Negative
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",2021-05-15 11:45:00, ThoughtExplorer   , Twitter  ,15.0,30.0, UK            ,2021,5,45.0,Neutral
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",2019-12-28 14:30:00, StoicSoul         , Instagram ,8.0,15.0, Australia     ,2019,12,23.0,Negative
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",2020-03-01 19:00:00, DreamerInSilence  , Facebook ,12.0,25.0, India         ,2020,3,37.0,Neutral
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",2018-07-10 15:45:00, JournalKeeper     , Twitter  ,10.0,20.0, Canada        ,2018,7,30.0,Neutral
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",2022-01-05 10:30:00, ThreadWeaver      , Instagram ,12.0,25.0, UK            ,2022,1,37.0,Neutral
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",2021-08-20 16:20:00, SelfLoveAdvocate  , Facebook ,15.0,30.0, Australia    ,2021,8,45.0,Neutral
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",2019-11-03 13:45:00, DreamChaser       , Twitter  ,18.0,35.0, USA          ,2019,11,53.0,Neutral
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",2020-04-12 19:30:00, OceanSoul         , Instagram ,25.0,50.0, Canada        ,2020,4,75.0,Positive
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",2022-04-15 08:45:00, HorizonExplorer   , Facebook ,22.0,45.0, India         ,2022,4,67.0,Neutral
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",2023-02-10 17:00:00, NonchalantSpirit  , Twitter  ,9.0,18.0, UK            ,2023,2,27.0,Neutral
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",2020-08-05 12:15:00, ComplexThinker    , Instagram ,14.0,28.0, Australia    ,2020,8,42.0,Positive
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",2021-12-01 15:30:00, ShieldedHeart     , Facebook ,10.0,20.0, USA          ,2021,12,30.0,Neutral
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",2019-03-25 21:00:00, SymphonySoul      , Twitter  ,13.0,26.0, Canada        ,2019,3,39.0,Neutral
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",2017-06-18 14:45:00, YearbookExplorer  , Instagram ,12.0,25.0, India         ,2017,6,37.0,Neutral
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",2022-07-08 11:30:00, DecisiveDilemma   , Facebook ,15.0,30.0, Australia    ,2022,7,45.0,Neutral
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",2023-05-15 16:20:00, ImperfectHarmony  , Twitter  ,18.0,36.0, Canada        ,2023,5,54.0,Neutral
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",2021-09-10 14:45:00, VisionarySpirit   , Instagram ,20.0,40.0, UK            ,2021,9,60.0,Neutral
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",2020-02-28 18:30:00, ForestDreamer     , Facebook ,25.0,50.0, USA          ,2020,2,75.0,Neutral
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",2023-03-10 16:30:00, SilentSpectator   , Instagram ,9.0,18.0, India         ,2023,3,27.0,Neutral
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",2021-05-02 11:45:00, MazeNavigator     , Facebook ,14.0,28.0, Australia    ,2021,5,42.0,Neutral
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",2019-10-18 14:30:00, ResilientFortress , Twitter  ,11.0,22.0, UK            ,2019,10,33.0,Neutral
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",2020-01-05 20:00:00, CanvasDreamer     , Instagram ,13.0,26.0, USA          ,2020,1,39.0,Neutral
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",2018-08-10 15:45:00, DiaryExplorer     , Facebook ,12.0,25.0, Canada        ,2018,8,37.0,Neutral
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",2022-01-15 10:30:00, CrossroadsTraveler , Twitter  ,15.0,30.0, India         ,2022,1,45.0,Neutral
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",2021-07-20 16:20:00, MosaicDreamer     , Instagram ,18.0,36.0, Australia     ,2021,7,54.0,Very Positive
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",2019-12-03 13:45:00, PathfinderSpirit  , Facebook ,20.0,40.0, USA          ,2019,12,60.0,Positive
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",2020-04-12 19:30:00, RaindropHarmony   , Twitter  ,25.0,50.0, Canada        ,2020,4,75.0,Negative
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",2022-05-08 08:45:00, SeekerOfUnknowns  , Instagram ,22.0,45.0, UK            ,2022,5,67.0,Neutral
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",2023-02-22 17:00:00, NonchalantWanderer, Facebook ,9.0,18.0, India         ,2023,2,27.0,Neutral
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",2020-06-05 12:15:00, ShadowedSeeker    , Twitter  ,14.0,28.0, Australia    ,2020,6,42.0,Neutral
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",2021-11-30 15:30:00, TurbulentShield   , Instagram ,10.0,20.0, Canada        ,2021,11,30.0,Neutral
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",2019-02-25 21:00:00, WistfulPainter    , Facebook ,13.0,26.0, UK            ,2019,2,39.0,Neutral
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",2017-05-18 14:45:00, TaleWeaver        , Twitter  ,12.0,25.0, USA          ,2017,5,37.0,Neutral
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",2022-08-05 11:30:00, CrossroadsExplorer, Instagram ,15.0,30.0, Canada        ,2022,8,45.0,Neutral
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",2023-06-15 16:20:00, MosaicArtist      , Facebook ,18.0,36.0, Australia    ,2023,6,54.0,Negative
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",2021-10-10 14:45:00, DreamSculptor     , Twitter  ,20.0,40.0, UK            ,2021,10,60.0,Neutral
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",2020-05-12 19:30:00, MoonlitSoul       , Instagram ,25.0,50.0, USA          ,2020,5,75.0,Neutral
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",2022-12-01 09:15:00, FearlessExplorer  , Facebook ,22.0,44.0, India         ,2022,12,66.0,Neutral
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",2021-11-30 15:30:00, TurbulentShield , Instagram ,10.0,20.0, Canada ,2021,11,30.0,Neutral
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",2018-07-12 17:45:00, JoyfulDancer , Twitter ,15.0,30.0, USA ,2018,7,45.0,Very Positive
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",2020-09-05 20:10:00, SereneBasker , Facebook ,18.0,36.0, Australia ,2020,9,54.0,Positive
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",2022-04-18 08:00:00, DreamPainter , Instagram ,12.0,24.0, India ,2022,4,36.0,Neutral
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",2019-12-10 12:20:00, OakAchiever , Twitter ,25.0,50.0, Canada ,2019,12,75.0,Very Positive
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",2023-02-28 09:45:00, HeartGardener , Facebook ,20.0,40.0, USA ,2023,2,60.0,Neutral
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",2018-04-03 14:15:00, ThreadWeaver , Instagram ,15.0,30.0, UK ,2018,4,45.0,Neutral
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",2022-06-20 10:30:00, CloudCaretaker , Twitter ,18.0,36.0, Australia ,2022,6,54.0,Neutral
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",2020-07-08 18:00:00, RainDancer , Facebook ,22.0,44.0, Canada ,2020,7,66.0,Positive
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",2021-08-15 11:10:00, SkyPainter , Instagram ,20.0,40.0, India ,2021,8,60.0,Positive
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",2019-10-25 16:50:00, PhoenixExplorer , Twitter ,15.0,30.0, UK ,2019,10,45.0,Positive
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",2023-10-05 07:30:00, SunriseNavigator , Facebook ,12.0,24.0, USA ,2023,10,36.0,Positive
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",2022-02-15 13:15:00, SandStrider , Instagram ,25.0,50.0, Australia ,2022,2,75.0,Neutral
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",2021-05-08 22:00:00, NightSerenader , Twitter ,13.0,26.0, Canada ,2021,5,39.0,Neutral
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",2020-11-29 14:45:00, KnowledgeSeeker , Instagram ,17.0,34.0, USA ,2020,11,51.0,Neutral
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",2019-09-14 10:20:00, BreezeWaltzer , Facebook ,14.0,28.0, UK ,2019,9,42.0,Neutral
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",2022-03-12 19:55:00, StarNavigator , Twitter ,19.0,38.0, Australia ,2022,3,57.0,Positive
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",2023-03-30 16:30:00, MeadowSprinter , Instagram ,16.0,32.0, India ,2023,3,48.0,Very Positive
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",2021-07-01 12:10:00, RainNurturer , Facebook ,21.0,42.0, Canada ,2021,7,63.0,Neutral
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",2020-01-05 08:45:00, PeakConqueror , Twitter ,23.0,46.0, USA ,2020,1,69.0,Very Positive
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",2022-07-17 06:15:00, DawnGardener , Instagram ,14.0,28.0, UK ,2022,7,42.0,Neutral
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",2018-08-22 17:20:00, CarnivalDreamer , Facebook ,24.0,48.0, Australia ,2018,8,72.0,Neutral
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",2021-12-08 14:30:00, SkyArtist , Twitter ,18.0,36.0, India ,2021,12,54.0,Neutral
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",2019-04-27 09:50:00, RiverNavigator , Instagram ,20.0,40.0, Canada ,2019,4,60.0,Neutral
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",2023-09-03 21:40:00, LanternWanderer , Facebook ,16.0,32.0, USA ,2023,9,48.0,Negative
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",2020-06-10 10:05:00, DreamSoarer , Twitter ,22.0,44.0, UK ,2020,6,66.0,Neutral
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",2022-04-01 18:30:00, SunsetAdmirer , Instagram ,19.0,38.0, Australia ,2022,4,57.0,Positive
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",2021-01-15 13:00:00, DanceStrider , Facebook ,23.0,46.0, Canada ,2021,1,69.0,Positive
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",2023-05-06 07:20:00, WindWhisperer , Twitter ,15.0,30.0, India ,2023,5,45.0,Neutral
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",2019-11-18 15:15:00, JugglingArtist , Instagram ,25.0,50.0, USA ,2019,11,75.0,Very Positive
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",2020-08-29 20:45:00, StarStoryteller , Facebook ,14.0,28.0, UK ,2020,8,42.0,Neutral
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",2022-10-30 11:40:00, WaveNavigator , Twitter ,17.0,34.0, Australia ,2022,10,51.0,Neutral
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",2021-07-01 12:10:00, RainNurturer , Instagram ,21.0,42.0, Canada ,2021,7,63.0,Neutral
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",2020-01-05 08:45:00, PeakConqueror , Twitter ,23.0,46.0, USA ,2020,1,69.0,Very Positive
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",2022-07-17 06:15:00, DawnGardener , Instagram ,14.0,28.0, UK ,2022,7,42.0,Neutral
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",2018-08-22 17:20:00, CarnivalDreamer , Facebook ,24.0,48.0, Australia ,2018,8,72.0,Neutral
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",2021-12-08 14:30:00, SkyArtist , Twitter ,18.0,36.0, India ,2021,12,54.0,Neutral
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",2019-04-27 09:50:00, RiverNavigator , Instagram ,20.0,40.0, Canada ,2019,4,60.0,Neutral
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",2023-09-03 21:40:00, LanternWanderer , Facebook ,16.0,32.0, USA ,2023,9,48.0,Negative
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",2020-06-10 10:05:00, DreamSoarer , Twitter ,22.0,44.0, UK ,2020,6,66.0,Neutral
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",2022-04-01 18:30:00, SunsetAdmirer , Instagram ,19.0,38.0, Australia ,2022,4,57.0,Positive
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",2021-01-15 13:00:00, DanceStrider , Facebook ,23.0,46.0, Canada ,2021,1,69.0,Positive
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",2023-05-06 07:20:00, WindWhisperer , Twitter ,15.0,30.0, India ,2023,5,45.0,Neutral
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",2019-11-18 15:15:00, JugglingArtist , Instagram ,25.0,50.0, USA ,2019,11,75.0,Very Positive
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",2020-08-29 20:45:00, StarStoryteller , Facebook ,14.0,28.0, UK ,2020,8,42.0,Neutral
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",2022-10-30 11:40:00, WaveNavigator , Twitter ,17.0,34.0, Australia ,2022,10,51.0,Neutral
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",2021-07-01 12:10:00, RainNurturer , Instagram ,21.0,42.0, Canada ,2021,7,63.0,Neutral
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",2020-01-05 08:45:00, PeakConqueror , Twitter ,23.0,46.0, USA ,2020,1,69.0,Very Positive
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",2022-07-17 06:15:00, DawnGardener , Instagram ,14.0,28.0, India ,2022,7,42.0,Neutral
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",2018-08-22 17:20:00, CarnivalDreamer , Facebook ,24.0,48.0, Australia ,2018,8,72.0,Neutral
" Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",2021-09-15 16:00:00, ShatteredHeart , Instagram ,8.0,16.0, Canada ,2021,9,24.0,Neutral
" Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",2019-03-08 14:20:00, VenomousSoul , Facebook ,12.0,24.0, UK ,2019,3,36.0,Neutral
" Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",2017-07-20 11:45:00, DesertWanderer , Twitter ,15.0,30.0, USA ,2017,7,45.0,Negative
" Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",2020-11-02 19:30:00, ColdEmbrace , Instagram ,10.0,20.0, Australia ,2020,11,30.0,Negative
" Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",2022-05-12 02:00:00, NightPrisoner , Facebook ,18.0,36.0, India ,2022,5,54.0,Negative
" Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",2023-04-08 13:15:00, TightropeWalker , Twitter ,14.0,28.0, UK ,2023,4,42.0,Neutral
" Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",2021-06-25 17:50:00, AtlasBearer , Instagram ,22.0,44.0, Canada ,2021,6,66.0,Neutral
" Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",2019-08-30 10:10:00, GreenMonster , Facebook ,16.0,32.0, USA ,2019,8,48.0,Neutral
" Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",2022-08-03 15:30:00, StormSurvivor , Twitter ,25.0,50.0, Australia ,2022,8,75.0,Negative
" Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",2020-12-17 09:20:00, PuzzleComposer , Instagram ,12.0,24.0, India ,2020,12,36.0,Very Negative
" Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",2021-02-28 22:45:00, GildedHeartache , Facebook ,20.0,40.0, USA ,2021,2,60.0,Very Negative
" Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",2018-05-10 14:00:00, IndifferentFort , Twitter ,14.0,28.0, UK ,2018,5,42.0,Neutral
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",2022-01-07 11:10:00, DreamMosaic , Instagram ,15.0,30.0, Canada ,2022,1,45.0,Very Negative
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",2019-09-19 03:30:00, NocturnalEcho , Facebook ,18.0,36.0, Australia ,2019,9,54.0,Neutral
" Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",2023-07-14 23:00:00, DarkWhispers , Twitter ,13.0,26.0, UK ,2023,7,39.0,Negative
" Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",2020-04-05 16:20:00, LingeringTaste , Instagram ,10.0,20.0, India ,2020,4,30.0,Neutral
" Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",2021-11-29 08:45:00, TempestSurvivor , Facebook ,20.0,40.0, USA ,2021,11,60.0,Neutral
" Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. ",2019-12-12 17:00:00, VenomousHeart , Twitter ,16.0,32.0, Australia ,2019,12,48.0,Neutral
" Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",2022-05-20 14:50:00, FragileTrust , Instagram ,25.0,50.0, Canada ,2022,5,75.0,Neutral
" Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. ",2020-09-03 12:15:00, BrokenThreads , Facebook ,14.0,28.0, UK ,2020,9,42.0,Negative
" Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights. ",2021-02-10 19:30:00, SuccessPill , Twitter ,20.0,40.0, USA ,2021,2,60.0,Neutral
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",2018-08-18 14:40:00, CurtainShield , Instagram ,12.0,24.0, Australia ,2018,8,36.0,Neutral
" Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness. ",2022-02-28 21:00:00, FoggyLabyrinth , Facebook ,8.0,16.0, Canada ,2022,2,24.0,Neutral
" Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory. ",2019-10-15 10:30:00, IcyResentment , Twitter ,15.0,30.0, UK ,2019,10,45.0,Neutral
" Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",2017-12-01 18:50:00, SolitaryMoon , Instagram ,18.0,36.0, USA ,2017,12,54.0,Negative
" Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon. ",2020-04-18 16:15:00, VanishedSunset , Facebook ,10.0,20.0, Australia ,2020,4,30.0,Neutral
" Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners. ",2023-01-07 03:30:00, NightPrisoner , Twitter ,18.0,36.0, India ,2023,1,54.0,Very Negative
" Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",2021-06-10 10:00:00, WindWhisperer , Instagram ,14.0,28.0, Canada ,2021,6,42.0,Neutral
" Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience. ",2020-02-22 15:20:00, MazeExplorer , Facebook ,22.0,44.0, USA ,2020,2,66.0,Neutral
" Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence. ",2018-03-17 14:45:00, WoundedGarden , Twitter ,16.0,32.0, UK ,2018,3,48.0,Neutral
" Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",2022-10-28 11:15:00, RuinedHeart , Instagram ,25.0,50.0, Australia ,2022,10,75.0,Neutral
" Frustrated attempts to untangle the knot of confusion, the threads of understanding slipping further into the labyrinth of miscommunication. ",2020-11-01 12:30:00, KnotUntangler , Facebook ,14.0,28.0, India ,2020,11,42.0,Negative
" Envious eyes locked on the treasure chest of opportunities, a heartache fueled by the desire for keys that seem forever elusive. ",2021-01-15 22:10:00, ElusiveKeys , Twitter ,20.0,40.0, USA ,2021,1,60.0,Neutral
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",2018-08-18 14:00:00, IndifferentFort , Instagram ,12.0,24.0, Australia ,2018,8,36.0,Neutral
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",2022-01-07 11:10:00, DreamMosaic , Twitter ,15.0,30.0, Canada ,2022,1,45.0,Very Negative
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",2019-09-19 03:30:00, NocturnalEcho , Facebook ,18.0,36.0, Australia ,2019,9,54.0,Neutral
Awe-struck by the breathtaking sunrise over the mountains.      ,2022-04-03 06:15:00, NatureAdmirer  , Instagram ,28.0,55.0, USA               ,2022,4,83.0,Very Positive
